"","date","total_stake","unbonded_amount"
"153",2020-11-17,671435012.082668,5851953.51175374
"154",2020-11-18,666438118.99151,543496.965876018
"155",2020-11-19,666578143.846053,249102.783901565
"156",2020-11-20,667186293.202386,95103.5938036868
"157",2020-11-21,669115590.360292,8116483.7443218
"158",2020-11-22,662226491.354672,695984.534421438
"159",2020-11-23,661955511.766555,267783.924077439
"160",2020-11-24,662314228.145122,867060.40201881
"161",2020-11-25,662069988.436864,979636.823055676
"162",2020-11-26,661698641.124123,285203.85604066
"163",2020-11-27,662214600.444245,57791.682289862
"164",2020-11-28,672625302.391583,338328.359471073
"165",2020-11-29,674485536.257617,34307.2601309327
"166",2020-11-30,674001470.107381,1634495.80267429
"167",2020-12-01,673664449.42179,316965.227479453
"168",2020-12-02,673729791.638199,79088.5403330471
"169",2020-12-03,675307071.15477,191782.745245556
"170",2020-12-04,677813705.904734,788372.429848286
"171",2020-12-05,677203939.421751,934369.172765867
"172",2020-12-06,677053887.611258,45994.0401068292
"173",2020-12-07,675495951.433029,1104547.86617417
"174",2020-12-08,674991206.462823,161035.487479195
"175",2020-12-09,677398871.700949,333595.422268366
"176",2020-12-10,677892508.686345,304502.184152481
"177",2020-12-11,677763011.485719,206785.063019284
"178",2020-12-12,677975978.217031,305909.147163895
"179",2020-12-13,678283985.08509,118501.912755635
"180",2020-12-14,678653008.029155,214401.65818794
"181",2020-12-15,679550720.998347,416716.92633199
"182",2020-12-16,679994954.852059,743149.644267917
"183",2020-12-17,691678335.187442,853736.593964352
"184",2020-12-18,633600247.712921,1964631.68305571
"185",2020-12-19,628867539.706404,4481118.08088103
"186",2020-12-20,629191137.662356,667163.951916291
"187",2020-12-21,628641063.180481,565096.928856998
"188",2020-12-22,629120465.613675,79982.1685217203
"189",2020-12-23,630441286.255975,766444.737670168
"190",2020-12-24,631913477.815917,1341513.53809843
"191",2020-12-25,632031937.754507,252177.80156684
"192",2020-12-26,632012502.514958,264478.087652781
"193",2020-12-27,631054910.735252,256031.096327871
"194",2020-12-28,634113253.756555,709067.905960176
"195",2020-12-29,654982417.469895,804695.146260568
"196",2020-12-30,651143267.561432,3996268.03267438
"197",2020-12-31,649984176.117082,1706942.77529799
"198",2021-01-01,649052530.612377,1324203.90402926
"199",2021-01-02,649448187.942974,2034020.00479466
"200",2021-01-03,646046158.686509,878952.52738027
"201",2021-01-04,645285494.164676,2662124.26656547
"202",2021-01-05,645601723.028702,1999294.24980085
"203",2021-01-06,643046242.431365,2674943.16148889
"204",2021-01-07,638959320.325169,4030171.33263638
"205",2021-01-08,633522378.07079,10308955.5479143
"206",2021-01-09,628444363.066355,1153320.82536256
"207",2021-01-10,627970094.28374,1391763.54265065
"208",2021-01-11,626978978.539231,309440.475419249
"209",2021-01-12,627078788.389241,363000.298181876
"210",2021-01-13,626565498.529742,351265.576095848
"211",2021-01-14,627729023.324127,1112698.53984831
"212",2021-01-15,626358602.63007,2333660.93721281
"213",2021-01-16,623874759.518675,6070953.52205313
"214",2021-01-17,619894309.415639,964892.60217112
"215",2021-01-18,618498702.623087,1893074.93812036
"216",2021-01-19,620109930.79519,929235.440781877
"217",2021-01-20,614967684.906996,4601362.92019898
"218",2021-01-21,614506506.264084,230304.69101258
"219",2021-01-22,617503401.753292,672156.200824101
"220",2021-01-23,618292581.925334,129155.798576907
"221",2021-01-24,616603467.29799,261483.065040423
"222",2021-01-25,617319037.343422,427537.483015775
"223",2021-01-26,619040872.353036,7601806.94135548
"224",2021-01-27,619945671.854029,2971981.83125204
"225",2021-01-28,616998485.763715,272955.961460325
"226",2021-01-29,618405865.627239,248288.497744383
"227",2021-01-30,629111693.644302,246502.732263162
"228",2021-01-31,629377398.488931,280962.186246268
"229",2021-02-01,628612841.42078,1267918.86680435
"230",2021-02-02,628518822.437468,114779.222849518
"231",2021-02-03,630372677.430061,389016.906801022
"232",2021-02-04,629153897.439864,2222555.0617495
"233",2021-02-05,626761090.369338,1318576.80337305
"234",2021-02-06,627443652.173062,298150.939155907
"235",2021-02-07,631351465.873419,1168288.45430635
"236",2021-02-08,637560604.286372,930920.841798633
"237",2021-02-09,636308567.303519,2842728.38005895
"238",2021-02-10,635086315.58414,1090215.05567925
"239",2021-02-11,636939632.223651,2344256.71456508
"240",2021-02-12,638717531.409621,1407754.15422139
"241",2021-02-13,638583035.998365,6715360.10864312
"242",2021-02-14,633294055.82425,486050.082312459
"243",2021-02-15,632884657.667087,1716900.35651286
"244",2021-02-16,631113438.644174,2318446.44866331
"245",2021-02-17,630799600.68647,1908616.1364713
"246",2021-02-18,629335421.26549,1379946.46050188
"247",2021-02-19,622157834.318775,7365155.54961842
"248",2021-02-20,619427021.316477,2891160.12576262
"249",2021-02-21,617530045.533271,2509617.21334263
"250",2021-02-22,617690393.200465,7708023.13086007
"251",2021-02-23,610953388.99891,515072.680245004
"252",2021-02-24,608999395.792213,2228876.74777464
"253",2021-02-25,607764162.780578,1436917.89066394
"254",2021-02-26,608895051.279478,829166.614474216
"255",2021-02-27,667357590.957736,115126.076267547
"256",2021-02-28,669130907.692775,334188.848105169
"257",2021-03-01,669367729.181466,631962.302865303
"258",2021-03-02,669310417.839352,158771.425694636
"259",2021-03-03,669037204.887262,325647.864731313
"260",2021-03-04,671040861.756972,286837.216986527
"261",2021-03-05,671189062.744088,838617.65628022
"262",2021-03-06,676353393.74117,685409.352787012
"263",2021-03-07,677330170.194465,115200.634638052
"264",2021-03-08,676775114.57154,201051.136418466
"265",2021-03-09,677097523.374026,553042.807572977
"266",2021-03-10,677230485.40792,200466.186064691
"267",2021-03-11,680242279.520938,687909.680798071
"268",2021-03-12,680625877.775845,694141.101788966
"269",2021-03-13,680003114.993751,575307.48899429
"270",2021-03-14,680162886.545707,243455.931997067
"271",2021-03-15,680264718.150737,719007.858633901
"272",2021-03-16,680252597.981657,344736.460865312
"273",2021-03-17,680154354.572756,480356.567949536
"274",2021-03-18,680754534.508617,1552046.79884354
"275",2021-03-19,680291964.707467,148929.188823406
"276",2021-03-20,681041655.948428,595080.151376177
"277",2021-03-21,681247937.148726,201149.493987728
"278",2021-03-22,681269254.150122,159948.862510521
"279",2021-03-23,681680927.422315,249459.256377605
"280",2021-03-24,686282299.332757,342340.21543842
"281",2021-03-25,686658949.631122,75943.100530708
"282",2021-03-26,686209991.662326,411872.322684578
"283",2021-03-27,688283282.194024,132533.353457711
"284",2021-03-28,688334820.214977,242899.580894343
"285",2021-03-29,688813211.248332,477096.509387752
"286",2021-03-30,689256843.125883,271953.547772639
"287",2021-03-31,691294628.086911,256940.268194778
"288",2021-04-01,690982385.47212,1478421.14631373
"289",2021-04-02,689954228.457571,492094.805284015
"290",2021-04-03,690250102.23797,612003.088171469
"291",2021-04-04,690704163.441486,191471.104404284
"292",2021-04-05,688910572.566325,1029606.39430289
"293",2021-04-06,688342685.024643,625789.858631029
"294",2021-04-07,687841752.081074,864069.860894104
"295",2021-04-08,682550158.56166,5285924.95714988
"296",2021-04-09,684327406.600567,98505.0896643397
"297",2021-04-10,684697366.974356,179369.343895725
"298",2021-04-11,683529371.441022,196729.277221439
"299",2021-04-12,683525728.223659,1527687.01900658
"300",2021-04-13,684203729.710432,430873.942358133
"301",2021-04-14,688053898.35706,168799.047420398
"302",2021-04-15,688506055.315883,208620.836672604
"303",2021-04-16,688090060.595536,898119.193560784
"304",2021-04-17,687644229.43266,653194.922765241
"305",2021-04-18,687793189.876543,920683.370614868
"306",2021-04-19,684424507.196217,4277787.959789
"307",2021-04-20,693194662.190184,1212114.6476602
"308",2021-04-21,694659210.863495,447791.587876942
"309",2021-04-22,694595974.957789,218102.161870406
"310",2021-04-23,687873053.494242,5942345.61762785
"311",2021-04-24,686958092.900877,289171.69386989
"312",2021-04-25,686969629.090638,169870.152865604
"313",2021-04-26,688426561.744904,360555.776501044
"314",2021-04-27,689091482.212195,95782.4316516302
"315",2021-04-28,689420581.557184,66434.5225660645
"316",2021-04-29,689680358.059374,73628.5230297644
"317",2021-04-30,689672069.235059,741265.943725681
"318",2021-05-01,690084367.01327,58914.3527309468
"319",2021-05-02,687587195.421787,488689.719299107
"320",2021-05-03,690848331.784072,97363.0025567769
"321",2021-05-04,690928823.052893,982237.608999764
"322",2021-05-05,690537402.949957,421095.614397657
"323",2021-05-06,690533605.885774,680740.531326191
"324",2021-05-07,690274592.281628,593168.450423023
"325",2021-05-08,690236212.223219,113316.740468271
"326",2021-05-09,689486644.28059,675767.414290161
"327",2021-05-10,689709946.770525,2245209.00889655
"328",2021-05-11,687973578.584145,312511.769374615
"329",2021-05-12,687986003.742586,249318.855459842
"330",2021-05-13,690131612.026415,262409.809845842
"331",2021-05-14,689554427.151447,1513336.20612675
"332",2021-05-15,689047380.79477,453975.311615609
"333",2021-05-16,689023365.23883,1633258.4781166
"334",2021-05-17,687193758.947077,384806.720067918
"335",2021-05-18,687400343.772263,1420162.53379375
"336",2021-05-19,692177237.373424,452415.943374266
"337",2021-05-20,691335466.816371,5555949.7580296
"338",2021-05-21,687088672.120589,485903.0634998
"339",2021-05-22,686904714.315724,712436.742651411
"340",2021-05-23,687702895.898661,1782222.26532956
"341",2021-05-24,686441068.59903,422201.078475574
"342",2021-05-25,687728056.17904,513876.484527408
"343",2021-05-26,687464876.349972,378779.76084955
"344",2021-05-27,687307035.581768,180996.702025379
"345",2021-05-28,687464322.103181,63209.0264238445
"346",2021-05-29,688291020.483946,81897.8554499805
"347",2021-05-30,688455324.232561,126604.061341629
"348",2021-05-31,689021656.933937,293618.853952867
"349",2021-06-01,688931984.249953,62717.1208997524
"350",2021-06-02,690851396.931848,190274.531270122
"351",2021-06-03,690921394.95211,44220.8095145527
"352",2021-06-04,691249417.513437,22741.8696461438
"353",2021-06-05,692130872.876066,85938.2268885638
"354",2021-06-06,691337761.899046,583746.707544005
"355",2021-06-07,691173244.663073,1466415.38599569
"356",2021-06-08,689674352.717965,2290020.91055918
"357",2021-06-09,687914607.432146,2179419.44044462
"358",2021-06-10,687023760.071436,54170.1572812833
"359",2021-06-11,684733602.076592,2961367.82102841
"360",2021-06-12,684169724.028901,457048.558021434
"361",2021-06-13,684085281.356498,60248.8725300689
"362",2021-06-14,683541105.19794,76556.6552437939
"363",2021-06-15,680662854.661074,3333012.58994075
"364",2021-06-16,682541462.61395,117532.764717907
"365",2021-06-17,682955829.828099,203760.807714769
"366",2021-06-18,678340490.099105,329924.807605798
"367",2021-06-19,679273367.76786,43907.1777102572
"368",2021-06-20,679298715.001941,103172.198137417
"369",2021-06-21,679378228.066919,132190.950866063
"370",2021-06-22,679905631.93622,131233.753318262
"371",2021-06-23,682297469.248901,124341.139152516
"372",2021-06-24,682187035.907381,2503886.26517603
"373",2021-06-25,680217999.436793,170372.489958736
"374",2021-06-26,680156702.245997,31691.8922709063
"375",2021-06-27,680312500.506806,55656.6249776839
"376",2021-06-28,676614548.704545,4262924.57110599
"377",2021-06-29,676594805.786069,400539.204630077
"378",2021-06-30,676475361.826799,87815.9259854158
"379",2021-07-01,677052385.32529,155022.546871477
"380",2021-07-02,681142963.912248,79233.9186282516
"381",2021-07-03,681392674.135316,33801.0368601249
"382",2021-07-04,682106982.349991,109070.614640985
"383",2021-07-05,679357023.604071,204763.719448971
"384",2021-07-06,680050957.697625,2096977.1213204
"385",2021-07-07,679870749.934965,63829.8255731508
"386",2021-07-08,681494808.904692,11608.7907092372
"387",2021-07-09,681845300.859662,20945.9943460105
"388",2021-07-10,682630135.242673,32151.6976911042
"389",2021-07-11,683313748.303362,10300.8155854815
"390",2021-07-12,683406692.10314,75325.3640199162
"391",2021-07-13,684872202.26502,441101.052512331
"392",2021-07-14,685124443.803196,490123.406612567
"393",2021-07-15,687201423.39485,444702.665589531
"394",2021-07-16,686713201.553591,47144.7636493771
"395",2021-07-17,686798165.371717,525974.77674183
"396",2021-07-18,686578056.368523,109443.068447574
"397",2021-07-19,686781151.496698,67410.1211757017
"398",2021-07-20,687293230.984702,384450.665197688
"399",2021-07-21,688138119.258925,79454.5335860126
"400",2021-07-22,686684085.303105,2070902.5250249
"401",2021-07-23,686413584.668623,3240642.47660174
"402",2021-07-24,684081716.550246,127692.406687225
"403",2021-07-25,684406911.524398,148281.223058187
"404",2021-07-26,684425374.107207,604593.370416411
"405",2021-07-27,687040867.742014,2405535.50178169
"406",2021-07-28,685121298.788871,219513.802771939
"407",2021-07-29,685084992.595092,107417.18101486
"408",2021-07-30,684969169.077692,171500.987798381
"409",2021-07-31,685405689.460947,161457.061358144
"410",2021-08-01,685689242.707674,379411.460490479
"411",2021-08-02,685490156.423004,339780.077615444
"412",2021-08-03,686115702.64918,320136.146118584
"413",2021-08-04,686198786.764688,103623.36448436
"414",2021-08-05,686313255.616691,91819.4788877864
"415",2021-08-06,686201346.915454,518027.685794077
"416",2021-08-07,689589663.265819,457845.384793432
"417",2021-08-08,690139550.097845,300599.585898663
"418",2021-08-09,689425471.637419,1192988.57996141
"419",2021-08-10,690395173.767695,312670.802076563
"420",2021-08-11,663778422.462671,588723.028680406
"421",2021-08-12,663875505.184036,76438.9007453948
"422",2021-08-13,656094188.760227,45126.4106022118
"423",2021-08-14,656412255.762076,328202.888087661
"424",2021-08-15,656140742.946238,56439.8787241818
"425",2021-08-16,656241487.333301,103847.065127134
"426",2021-08-17,655248893.077199,1441937.08043246
"427",2021-08-18,659375895.36559,1518937.97899862
"428",2021-08-19,658775060.641118,270803.110541628
"429",2021-08-20,658666025.328599,682953.880112174
"430",2021-08-21,665505334.218004,139812.014354857
"431",2021-08-22,665980846.265822,37193.7903032375
"432",2021-08-23,665934147.632529,264223.670531555
"433",2021-08-24,676611523.491797,330795.891263508
"434",2021-08-25,676235681.718209,287767.482173229
"435",2021-08-26,676503765.962123,728154.566635989
"436",2021-08-27,707789741.250348,377149.165972273
"437",2021-08-28,706462660.346973,1040655.77218586
"438",2021-08-29,706574174.386354,133429.589851895
"439",2021-08-30,709116903.469464,245875.061260346
"440",2021-08-31,705920928.744495,961201.348664658
"441",2021-09-01,708694371.71264,515553.011459678
"442",2021-09-02,710485782.120966,462307.333717424
"443",2021-09-03,711036123.055179,184384.259057132
"444",2021-09-04,712618425.353985,653473.587628024
"445",2021-09-05,711024311.417605,195483.923801401
"446",2021-09-06,712992192.67614,2219473.00882863
"447",2021-09-07,709814431.017203,1367282.56385806
"448",2021-09-08,713300557.261389,646148.206993075
"449",2021-09-09,710424472.681056,543665.077016246
"450",2021-09-10,709969016.524021,232246.393882221
"451",2021-09-11,709950642.870431,281407.409051378
"452",2021-09-12,710085141.054616,273110.773127225
"453",2021-09-13,709798023.339223,603474.020641997
"454",2021-09-14,710902471.659174,251758.882340954
"455",2021-09-15,710509372.168837,123969.754287787
"456",2021-09-16,710730581.9346,259558.24598475
"457",2021-09-17,711111308.576305,1086638.76956471
"458",2021-09-18,710354227.36251,137205.778173593
"459",2021-09-19,710344550.299929,288665.234842157
"460",2021-09-20,711342000.498839,374831.087332265
"461",2021-09-21,711346642.068463,153501.922631843
"462",2021-09-22,711209851.505974,1089470.36243205
"463",2021-09-23,712075727.563336,355855.02669224
"464",2021-09-24,711741031.255012,258025.681785128
"465",2021-09-25,711705518.667225,789663.777729257
"466",2021-09-26,711725086.707565,54071.7419293971
"467",2021-09-27,710833698.045048,1726928.37910548
"468",2021-09-28,709149581.291055,2229024.51097415
"469",2021-09-29,709369776.216042,371225.672770962
"470",2021-09-30,711854073.832629,1861541.57764809
"471",2021-10-01,711718394.903224,535836.288458162
"472",2021-10-02,711068066.291833,607836.040820863
"473",2021-10-03,709541082.089275,198634.460619841
"474",2021-10-04,709545174.169295,221738.384865586
"475",2021-10-05,709517627.281922,130888.546361563
"476",2021-10-06,710137733.133013,270176.001682437
"477",2021-10-07,710175682.793528,878810.400895958
"478",2021-10-08,709471314.981903,3010391.35201834
"479",2021-10-09,706835066.84098,135088.835809776
"480",2021-10-10,694701466.074791,504377.185719188
"481",2021-10-11,690472387.215639,599258.184087036
"482",2021-10-12,691670489.746713,405066.341256799
"483",2021-10-13,704340330.873546,10127656.7639516
"484",2021-10-14,677179277.472937,24708662.3338365
"485",2021-10-15,668981543.179483,6565545.2063654
"486",2021-10-16,662246024.400638,7273408.55330707
"487",2021-10-17,656356534.20802,1636527.01177448
"488",2021-10-18,655019294.767299,3301662.94762003
"489",2021-10-19,651805161.041079,1795678.13856984
"490",2021-10-20,651240736.534435,6906680.57121875
"491",2021-10-21,644690060.94194,616659.65374516
"492",2021-10-22,644555996.956619,707028.197486068
"493",2021-10-23,644684668.54245,832458.305924212
"494",2021-10-24,644468728.602565,148908.821750962
"495",2021-10-25,644138900.109584,1578318.52093623
"496",2021-10-26,643563506.138427,518874.187843044
"497",2021-10-27,643123446.440567,1129578.43067742
"498",2021-10-28,642253780.41446,387450.996652878
"499",2021-10-29,641608089.802759,762343.09915141
"500",2021-10-30,641473159.447578,1071201.00978345
"501",2021-10-31,641236342.012527,221078.828857096
